Replenishment Receive Location,Part Number,TOPMOST,Part Name,foo,Strategic Product,Life Cycle,Frequency,foo,丸め,ＲＥＧ,ＲＥＧ        Sub Amount,ADD,ADD              Sub Amount,Price(FOB),Amount,CostCurrency,Transport by Boat(N+1)月出荷,Transport by Air(N+1)月出荷,ADD Boat(N1) 月出荷,ADD Air(N1) 月出荷,AIR金額,同月出荷可能数量,N2月月末時点在庫数,N2月中間時点在庫数,Order Date,Due Date or Available Date,OrderType,MAPE
210_KDA,AA0045,AA0045,Product-45,foo,n,4:Decline,Freq 6/6,foo,1,2,,1,,,,,,,,,,,,,,,,
210_KDA,AA0046,AA0046,Product-46,foo,n,4:Decline,Freq 5/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0047,AA0047,Product-47,foo,n,4:Decline,Freq 5/6,foo,1,7,,0,,,,,,,,,,,,,,,,
210_KDA,AA0048,AA0048,Product-48,foo,n,4:Decline,Freq 6/6,foo,4,28,,4,,,,,,,,,,,,,,,,
210_KDA,AA0049,AA0049,Product-49,foo,n,4:Decline,Freq 6/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0050,AA0050,Product-50,foo,n,4:Decline,Freq 4/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0051,AA0051,Product-51,foo,n,4:Decline,Freq 5/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0052,AA0052,Product-52,foo,n,3:Mature,Freq 6/6,foo,4,4,,-4,,,,,,,,,,,,,,,,
210_KDA,AA0053,AA0053,Product-53,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0054,AA0054,Product-54,foo,n,4:Decline,Freq 1/6,foo,1,2,,0,,,,,,,,,,,,,,,,
210_KDA,AA0055,AA0055,Product-55,foo,n,4:Decline,Freq 4/6,foo,1,1,,0,,,,,,,,,,,,,,,,
210_KDA,AA0056,AA0056,Product-56,foo,n,4:Decline,Freq 5/6,foo,1,3,,2,,,,,,,,,,,,,,,,
210_KDA,AA0057,AA0057,Product-57,foo,n,4:Decline,Freq 6/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0058,AA0058,Product-58,foo,n,4:Decline,Freq 6/6,foo,1,22,,2,,,,,,,,,,,,,,,,
210_KDA,AA0059,AA0059,Product-59,foo,n,4:Decline,Freq 6/6,foo,6,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0060,AA0060,Product-60,foo,n,4:Decline,Freq 6/6,foo,1,4,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0061,AA0061,Product-61,foo,n,4:Decline,Freq 4/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0062,AA0062,Product-62,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
