名前: U020 Forecast Check Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間: 2023/09/01 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拠点名,品番,品名,需要ストリーム,最重点管理品目,Strategic Product,ライフサイクル,Frequency,傾向性ランク,foo,FOB価格,安全在庫,6ヶ月平均出荷実績,予測手法（EN）,出荷実績　(N-12),出荷実績　(N-11),出荷実績　(N-10),出荷実績　(N-09),出荷実績　(N-08),出荷実績　(N-07),出荷実績　(N-06),出荷実績　(N-05),出荷実績　(N-04),出荷実績　(N-03),出荷実績　(N-02),出荷実績　(N-01),FOB価格x前月出荷数量,12ヶ月平均出荷実績,予測数量(N),予測数量(N+1),予測数量(N+2),予測数量(N+3),予測数量(N+4),予測数量(N+5),予測数量(N+6),予測数量(N+7),予測数量(N+8),予測数量(N+9),予測数量(N+10),予測数量(N+11),Foo,Bar,標準偏差,平均,実績期間,実績率エラー,将来日付を含む受注残,RMSE,MAPE,MAD,計算された安全在庫,在庫タイプ,VMR値,実績の異常値検知,予測手法変更,予測数量変更,需要履歴変更,予測実績乖離1,予測実績乖離2,予測実績乖離3,SVG予測数量(N),SVG予測数量(N+1),SVG予測数量(N+2),SVG予測数量(N+3),SVG予測数量(N+4),SVG予測数量(N+5),SVG予測数量(N+6),SVG予測数量(N+7),SVG予測数量(N+8),SVG予測数量(N+9),SVG予測数量(N+10),SVG予測数量(N+11)
U.S.,AA0042,Product-42,U.S.,Normal,n,4:Decline,Freq 6/6,T1,foo,58.92,5,4,ForecastingWA,8,3,10,8,2,3,1,8,5,7,1,3,176.76,5,4.36,5.26,4.72,4.45,4.9,4.31,4.67,4.18,4.18,4.04,4.22,4.63,1,42,3.260812,5.005856,12,65.13994809,0,3.2202,0.6263,2.8463,4.91,SH ,2.26010955, ,y, , , , , ,4.36,5.26,4.72,4.45,4.9,4.31,4.67,4.18,4.18,4.04,4.22,4.63
U.S.,AA0043,Product-43,U.S.,Normal,n,3:Mature,Freq 6/6,T2,foo,55.42,8,34,MovingAverage,39,39,46,36,36,43,51,32,37,28,35,23,1274.66,37,29.32,35.36,31.74,29.92,32.95,29.02,31.43,28.11,28.11,27.2,28.41,31.13,1,43,8.926592,35.65121,6,25.03867891,0,8.9029,0.2158,7.7659,8.37,SH ,2.51855159, ,y, , , ,y, ,29.32,35.36,31.74,29.92,32.95,29.02,31.43,28.11,28.11,27.2,28.41,31.13
U.S.,AA0044,Product-44,U.S.,2nd Most Important,n,4:Decline,Freq 6/6,T2,foo,73.24,51,29,MovingAverage,27,46,20,35,5,13,20,1,17,1,120,15,1098.6,27,29.41,35.47,31.84,30.02,33.05,29.11,31.53,28.2,28.2,27.29,28.5,31.23,1,44,34.024257,26.800056,12,126.9559176,0,17.3176,0.3975,14.2778,51.25,SH ,36.47510312, ,y, , , , ,y,29.41,35.47,31.84,30.02,33.05,29.11,31.53,28.2,28.2,27.29,28.5,31.23
U.S.,AA0045,Product-45,U.S.,Normal,n,4:Decline,Freq 6/6,,foo,60.61,7,9,MovingAverage,8,7,2,8,3,12,3,4,8,9,23,4,242.44,8,8.75,10.56,9.47,8.93,9.84,8.66,9.38,8.39,8.39,8.12,8.48,9.29,1,45,6.186165,7.800634,12,79.30336175,0,7.7397,0.5055,5.75,9.32,SH ,4.05160993, ,y, , , ,y, ,8.75,10.56,9.47,8.93,9.84,8.66,9.38,8.39,8.39,8.12,8.48,9.29
U.S.,AA0046,Product-46,U.S.,Normal,n,4:Decline,Freq 5/6,,foo,83.8,26,16,MovingAverage,42,54,10,32,22,36,28,20,26,9,0,10,838,24,15.54,18.74,16.82,15.86,17.46,15.38,16.66,14.89,14.89,14.41,15.05,16.5,1,46,11.172921,16.015697,6,69.76231506,145,57.97,1.0032,30.75,25.62,SH ,7.44619848, ,y, , , ,y, ,15.54,18.74,16.82,15.86,17.46,15.38,16.66,14.89,14.89,14.41,15.05,16.5
U.S.,AA0047,Product-47,U.S.,Normal,n,4:Decline,Freq 5/6,,foo,58.29,4,3,MovingAverage,6,7,5,5,5,2,4,2,3,0,3,6,349.74,4,2.95,3.56,3.19,3.01,3.31,2.92,3.16,2.83,2.83,2.74,2.86,3.13,1,47,1.923418,3.039872,6,63.27299307,0,2.3364,0.5518,1.7783,4.41,SH ,1.16262345, ,y, , , , , ,2.95,3.56,3.19,3.01,3.31,2.92,3.16,2.83,2.83,2.74,2.86,3.13
U.S.,AA0048,Product-48,U.S.,2nd Most Important,n,4:Decline,Freq 6/6,,foo,182.06,0,13,MovingAverage,16,13,15,17,5,10,21,8,19,7,11,12,2184.72,13,12.99,15.67,14.06,13.26,14.6,12.86,13.93,12.46,12.46,12.05,12.59,13.79,1,48,5.58802,13.392493,6,41.72501714,0,6.4182,0.4912,5.9044,0,SH ,2.22741672, ,y, , , , , ,12.99,15.67,14.06,13.26,14.6,12.86,13.93,12.46,12.46,12.05,12.59,13.79
U.S.,AA0049,Product-49,U.S.,Normal,n,4:Decline,Freq 6/6,T3,foo,71.5,15,5,MovingAverage,3,6,4,2,7,6,6,12,4,1,3,1,71.5,5,4.57,5.51,4.94,4.66,5.13,4.52,4.9,4.38,4.38,4.24,4.43,4.85,1,49,4.419436,4.707834,6,93.87408307,0,4.3814,0.7521,3.98,0,SH ,3.9633236, ,y, , , ,y, ,4.57,5.51,4.94,4.66,5.13,4.52,4.9,4.38,4.38,4.24,4.43,4.85
U.S.,AA0050,Product-50,U.S.,Normal,n,4:Decline,Freq 4/6,T2,foo,78,2,1,MovingAverage,2,4,2,2,1,1,4,0,1,0,1,1,78,2,1.12,1.36,1.22,1.15,1.26,1.11,1.21,1.08,1.08,1.04,1.09,1.19,1,50,1.411298,1.159354,6,121.7314125,0,1.6929,0.953,1.6088,2.12,SLP,1.6412252, ,y, , , ,y, ,1.12,1.36,1.22,1.15,1.26,1.11,1.21,1.08,1.08,1.04,1.09,1.19
U.S.,AA0051,Product-51,U.S.,Normal,n,4:Decline,Freq 5/6,T3,foo,78,3,1,MovingAverage,4,4,3,2,1,0,2,1,1,2,1,0,0,2,1.19,1.44,1.29,1.21,1.34,1.18,1.28,1.14,1.14,1.1,1.15,1.26,1,51,0.781433,1.226611,6,63.70666821,0,1.2714,0.6642,1.1602,2.89,SLP,0.47557995, ,y, , , , ,y,1.19,1.44,1.29,1.21,1.34,1.18,1.28,1.14,1.14,1.1,1.15,1.26
U.S.,AA0052,Product-52,U.S.,Normal,n,3:Mature,Freq 6/6,,foo,78,10,2,MovingAverage,3,5,4,3,2,1,4,1,2,2,1,1,78,2,1.83,2.21,1.98,1.87,2.06,1.81,1.96,1.76,1.76,1.7,1.77,1.94,1,52,1.217066,2.367627,12,51.40446532,0,1.0181,0.4284,0.8083,0,SH ,0.7494442, ,y, , , , , ,1.83,2.21,1.98,1.87,2.06,1.81,1.96,1.76,1.76,1.7,1.77,1.94
U.S.,AA0053,Product-53,U.S.,Normal,n,4:Decline,Freq 3/6,T2,foo,98.33,5,1,MovingAverage,0,1,1,0,2,0,2,1,0,2,0,0,0,1,0.84,1.02,0.91,0.86,0.95,0.84,0.9,0.81,0.81,0.78,0.82,0.9,1,53,1.024725,0.870095,6,117.7716226,0,0.9173,1.0891,0.7639,0.09,SLP,1.1529093, ,y, , , , , ,0.84,1.02,0.91,0.86,0.95,0.84,0.9,0.81,0.81,0.78,0.82,0.9
U.S.,AA0054,Product-54,U.S.,Normal,n,4:Decline,Freq 1/6,,foo,75.96,0,1,MovingAverage,0,0,0,0,0,0,0,4,0,0,0,1,75.96,0,0.85,1.03,0.92,0.87,0.96,0.84,0.91,0.82,0.82,0.79,0.83,0.91,1,54,1.721023,0.878658,6,195.8694964,0,1.6997,2,1,0.06,SLP,3.22033063, ,y, , , , ,y,0.85,1.03,0.92,0.87,0.96,0.84,0.91,0.82,0.82,0.79,0.83,0.91
U.S.,AA0055,Product-55,U.S.,Normal,n,4:Decline,Freq 4/6,,foo,43.55,2,1,MovingAverage,2,0,0,0,0,1,2,0,2,0,1,0,0,1,0.83,1,0.9,0.85,0.93,0.82,0.89,0.8,0.8,0.77,0.8,0.88,1,55,0.911125,0.686747,12,132.6725854,6,1.0386,1.2,0.9167,2.13,SLP,0.92620449, ,y, , , , , ,0.83,1,0.9,0.85,0.93,0.82,0.89,0.8,0.8,0.77,0.8,0.88
U.S.,AA0056,Product-56,U.S.,Normal,n,4:Decline,Freq 5/6,,foo,138.79,5,2,MovingAverage,1,1,0,0,1,1,3,0,3,1,2,0,0,1,1.51,1.82,1.64,1.54,1.7,1.5,1.62,1.45,1.45,1.4,1.46,1.6,1,56,1.408576,1.558199,6,90.39769632,0,1.351,0.9257,1.125,2.78,SLP,1.216423, ,y, , , , ,y,1.51,1.82,1.64,1.54,1.7,1.5,1.62,1.45,1.45,1.4,1.46,1.6
U.S.,AA0057,Product-57,U.S.,Normal,n,4:Decline,Freq 6/6,T1,foo,128.74,0,1,MovingAverage,0,2,0,1,3,4,2,2,2,1,1,0,0,2,1.36,1.64,1.47,1.39,1.53,1.34,1.46,1.3,1.3,1.26,1.32,1.44,1,57,0.843409,1.399849,6,60.24999839,0,0.4159,0.2676,0.3605,0.31,SLP,0.48544764, ,y, , , , , ,1.36,1.64,1.47,1.39,1.53,1.34,1.46,1.3,1.3,1.26,1.32,1.44
U.S.,AA0058,Product-58,U.S.,Normal,n,4:Decline,Freq 6/6,T1,foo,5.25,16,17,MovingAverage,6,50,5,4,23,2,29,13,29,6,15,7,36.75,16,16.57,19.98,17.93,16.91,18.61,16.39,17.76,15.88,15.88,15.37,16.05,17.59,1,58,10.399075,17.077689,6,60.89275311,0,10.7214,0.5902,9.5833,15.66,SH ,6.0493304, ,y, , , , , ,16.57,19.98,17.93,16.91,18.61,16.39,17.76,15.88,15.88,15.37,16.05,17.59
U.S.,AA0059,Product-59,U.S.,Normal,n,4:Decline,Freq 6/6,,foo,53.15,6,31,MovingAverage,45,47,49,33,34,33,42,25,31,33,32,25,1328.75,36,31.62,38.14,34.23,32.27,35.53,31.29,33.9,30.32,30.32,29.34,30.64,33.57,1,59,6.030151,32.596789,6,18.49921782,0,11.4553,0.2736,9.9306,5.65,SH ,1.06568426, ,y, , , , ,y,31.62,38.14,34.23,32.27,35.53,31.29,33.9,30.32,30.32,29.34,30.64,33.57
U.S.,AA0060,Product-60,U.S.,Normal,n,4:Decline,Freq 6/6,,foo,95.72,10,3,MovingAverage,5,2,5,8,6,4,3,4,1,4,4,3,287.16,4,3.21,3.88,3.48,3.28,3.61,3.18,3.44,3.08,3.08,2.98,3.11,3.41,1,60,1.841652,4.104279,12,44.87151093,0,1.9401,0.4378,1.4167,0,SH ,0.97823332, ,y, , , , , ,3.21,3.88,3.48,3.28,3.61,3.18,3.44,3.08,3.08,2.98,3.11,3.41
U.S.,AA0061,Product-61,U.S.,Normal,n,4:Decline,Freq 4/6,T2,foo,12.05,7,2,MovingAverage,5,3,2,2,7,7,0,4,3,5,0,0,0,3,1.8,2.17,1.94,1.83,2.02,1.78,1.93,1.72,1.72,1.67,1.74,1.91,1,61,3.207501,1.851852,3,173.2050401,0,3.174,1.3333,3.1111,7.36,SH ,5.30730915, ,y, , , , ,y,1.8,2.17,1.94,1.83,2.02,1.78,1.93,1.72,1.72,1.67,1.74,1.91
U.S.,AA0062,Product-62,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,0.23,0,1,MovingAverage,0,0,1,4,1,2,0,1,0,1,0,1,0.23,1,0.51,0.62,0.55,0.52,0.57,0.51,0.55,0.49,0.49,0.47,0.49,0.54,1,62,0.578272,0.526209,6,109.8939775,0,0.6922,1.4,0.5833,0.24,SLP,0.6070902, ,y, , , , , ,0.51,0.62,0.55,0.52,0.57,0.51,0.55,0.49,0.49,0.47,0.49,0.54
U.S.,AA0063,Product-63,U.S.,Normal,n,4:Decline,Freq 3/6,T2,foo,2.91,0,1,MovingAverage,1,1,2,0,1,0,1,0,1,0,3,0,0,1,0.85,1.02,0.91,0.86,0.95,0.84,0.91,0.81,0.81,0.78,0.82,0.9,1,63,1.241814,0.871383,6,142.5106985,0,0.7765,0.7748,0.5972,0.08,SLP,1.69063997, ,y, , , , , ,0.85,1.02,0.91,0.86,0.95,0.84,0.91,0.81,0.81,0.78,0.82,0.9
U.S.,AA0064,Product-64,U.S.,2nd Most Important,n,4:Decline,Freq 6/6,,foo,34.78,23,100,MovingAverage,147,99,118,84,151,130,98,134,83,82,99,103,3582.34,111,100.88,121.68,109.2,102.96,113.36,99.84,108.16,96.72,96.72,93.6,97.76,107.12,1,64,24.823068,110.944529,12,22.37430563,0,22.1035,0.1931,20.5032,23.27,SH ,5.66015717, ,y, , , , ,y,100.88,121.68,109.2,102.96,113.36,99.84,108.16,96.72,96.72,93.6,97.76,107.12
U.S.,AA0065,Product-65,U.S.,2nd Most Important,n,4:Decline,Freq 6/6,T2,foo,49.84,7,24,MovingAverage,40,29,13,15,33,28,22,20,23,22,18,40,1993.6,25,24.22,29.21,26.22,24.72,27.22,23.97,25.97,23.22,23.22,22.47,23.47,25.72,1,65,7.113671,24.96979,6,28.48911024,0,9.2611,0.3349,8.7778,6.67,SH ,1.93606378, ,y, , , , ,y,24.22,29.21,26.22,24.72,27.22,23.97,25.97,23.22,23.22,22.47,23.47,25.72
U.S.,AA0066,Product-66,U.S.,2nd Most Important,n,4:Decline,Freq 6/6,T1,foo,69.55,5,25,MovingAverage,25,24,20,22,42,27,25,22,30,28,22,22,1530.1,26,25.19,30.39,27.27,25.71,28.31,24.93,27.01,24.15,24.15,23.37,24.41,26.75,1,66,5.696258,25.836666,12,22.04718674,0,4.0915,0.1328,3.4444,5.34,SH ,1.19353389, ,y, , , , , ,25.19,30.39,27.27,25.71,28.31,24.93,27.01,24.15,24.15,23.37,24.41,26.75
U.S.,AA0067,Product-67,U.S.,Normal,n,4:Decline,Freq 4/6,,foo,29.38,3,1,MovingAverage,0,2,0,1,1,0,1,1,1,0,2,1,29.38,1,1,1.21,1.09,1.02,1.13,0.99,1.08,0.96,0.96,0.93,0.97,1.07,1,67,0.674964,1.035102,6,65.2074868,0,1.0408,1.25,0.8333,2.53,SLP,0.42046041, ,y, , , ,y, ,1,1.21,1.09,1.02,1.13,0.99,1.08,0.96,0.96,0.93,0.97,1.07
U.S.,AA0068,Product-68,U.S.,Normal,n,4:Decline,Freq 5/6,T1,foo,3.04,5,3,MovingAverage,1,0,2,4,0,5,2,1,5,0,2,5,15.2,2,2.48,2.99,2.69,2.53,2.79,2.46,2.66,2.38,2.38,2.3,2.41,2.64,1,68,2.123513,2.559453,6,82.96745437,2,2.5267,0.9037,1.6944,4.87,SH ,1.68309907, ,y, , , , ,y,2.48,2.99,2.69,2.53,2.79,2.46,2.66,2.38,2.38,2.3,2.41,2.64
U.S.,AA0069,Product-69,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,21.54,0,1,MovingAverage,0,3,1,1,0,1,0,1,0,0,3,0,0,1,0.69,0.83,0.75,0.7,0.78,0.68,0.74,0.66,0.66,0.64,0.67,0.73,1,69,1.289,0.711126,6,181.2618298,0,1.2824,1.5942,0.7639,0,SLP,2.23206011, ,y, , , ,y, ,0.69,0.83,0.75,0.7,0.78,0.68,0.74,0.66,0.66,0.64,0.67,0.73
U.S.,AA0070,Product-70,U.S.,Normal,n,4:Decline,Freq 5/6,T2,foo,23.55,13,7,MovingAverage,6,10,7,5,5,1,18,5,7,0,4,9,211.95,6,6.98,8.42,7.56,7.13,7.85,6.91,7.49,6.7,6.7,6.48,6.77,7.42,1,70,5.804725,7.200684,6,80.61352227,0,6.7954,0.8563,5.4073,13.31,SH ,4.47029885, ,y, , , , , ,6.98,8.42,7.56,7.13,7.85,6.91,7.49,6.7,6.7,6.48,6.77,7.42
U.S.,AA0071,Product-71,U.S.,Normal,n,4:Decline,Freq 5/6,T2,foo,12.05,4,3,MovingAverage,3,0,0,5,6,4,4,0,2,3,3,3,36.15,3,2.5,3.01,2.7,2.55,2.8,2.47,2.68,2.39,2.39,2.32,2.42,2.65,1,71,1.902377,2.770723,12,68.65994905,0,1.4593,0.3762,1.0556,4.36,SH ,1.34403052, ,y, , , , , ,2.5,3.01,2.7,2.55,2.8,2.47,2.68,2.39,2.39,2.32,2.42,2.65
U.S.,AA0072,Product-72,U.S.,Normal,n,4:Decline,Freq 4/6,T2,foo,34.92,3,1,MovingAverage,1,1,0,0,0,1,1,4,0,0,1,2,69.84,1,1.34,1.61,1.45,1.36,1.5,1.32,1.43,1.28,1.28,1.24,1.3,1.42,1,72,1.608235,1.378032,6,116.7051999,0,1.5294,1.1628,1.0417,2.38,SLP,1.7930269, ,y, , , , ,y,1.34,1.61,1.45,1.36,1.5,1.32,1.43,1.28,1.28,1.24,1.3,1.42
U.S.,AA0073,Product-73,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,21.65,0,0,MovingAverage,2,1,3,0,2,2,0,1,0,0,1,0,0,1,0.35,0.42,0.37,0.35,0.39,0.34,0.37,0.33,0.33,0.32,0.34,0.37,1,73,0.552325,0.356516,6,154.9229207,0,0.9623,1.1111,0.8333,0,SLP,0.8221774, ,y, , , , ,y,0.35,0.42,0.37,0.35,0.39,0.34,0.37,0.33,0.33,0.32,0.34,0.37
U.S.,AA0074,Product-74,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,90.44,0,2,MovingAverage,2,0,0,4,0,1,8,0,0,4,0,1,90.44,2,2.12,2.56,2.29,2.16,2.38,2.1,2.27,2.03,2.03,1.97,2.05,2.25,1,74,3.201009,2.184604,6,146.5258234,0,3.3475,1.5726,2.5556,0,SH ,4.48072185, ,y, , , , ,y,2.12,2.56,2.29,2.16,2.38,2.1,2.27,2.03,2.03,1.97,2.05,2.25
U.S.,AA0075,Product-75,U.S.,2nd Most Important,n,4:Decline,Freq 6/6,T2,foo,230.81,11,63,MovingAverage,72,64,85,64,66,64,87,56,54,49,54,77,17772.37,66,65,85,65,65,90,70,67.35,60.23,60.23,58.29,60.88,66.71,1,75,11.681631,64.763658,6,18.03732427,0,13.1361,0.1845,11.5261,10.95,SH ,1.93656023, ,y,y, , , , ,62.82,75.77,68,64.12,70.59,62.17,67.35,60.23,60.23,58.29,60.88,66.71
U.S.,AA0076,Product-76,U.S.,Normal,n,4:Decline,Freq 5/6,,foo,51.08,6,3,MovingAverage,5,3,4,1,4,1,4,0,7,3,2,3,153.24,3,3.19,3.85,3.46,3.26,3.59,3.16,3.42,3.06,3.06,2.96,3.09,3.39,1,76,2.473051,3.291108,6,75.14341675,0,2.5454,0.7541,2.0787,5.67,SH ,1.7752967, ,y, , , , ,y,3.19,3.85,3.46,3.26,3.59,3.16,3.42,3.06,3.06,2.96,3.09,3.39
U.S.,AA0077,Product-77,U.S.,Normal,n,4:Decline,Freq 6/6,,foo,120.81,10,6,MovingAverage,13,5,4,3,8,5,8,10,4,4,3,9,1087.29,6,6.32,7.63,6.85,6.45,7.11,6.26,6.78,6.06,6.06,5.87,6.13,6.72,1,77,2.983938,6.519978,6,45.76607467,0,3.1754,0.5006,3.154,0,SH ,1.30460924, ,y, , , , , ,6.32,7.63,6.85,6.45,7.11,6.26,6.78,6.06,6.06,5.87,6.13,6.72
U.S.,AA0078,Product-78,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,35.21,0,1,MovingAverage,0,1,1,2,0,1,0,1,2,0,0,2,70.42,1,0.84,1.01,0.9,0.85,0.94,0.83,0.9,0.8,0.8,0.78,0.81,0.89,1,78,1.010029,0.861259,6,117.2735495,0,1.1128,1.4,0.9722,0.12,SLP,1.13156876, ,y, , , , ,y,0.84,1.01,0.9,0.85,0.94,0.83,0.9,0.8,0.8,0.78,0.81,0.89
U.S.,AA0079,Product-79,U.S.,Most Important,y,2:Upturn,Freq 6/6,,foo,108.15,15,148,MovingAverage,122,135,163,149,183,166,161,151,173,127,131,143,15465.45,150,150,180,150,150,180,160,145.36,129.99,129.99,125.79,131.38,143.96,1,79,20.090263,150.85084,12,13.31796561,0,22.6613,0.131,20.4614,56.92,SH ,2.54769605, , ,y,y, ,y, ,135.58,163.53,146.76,138.37,152.35,134.18,145.36,129.99,129.99,125.79,131.38,143.96
U.S.,AA0080,Product-80,U.S.,Most Important,y,1:New Product,Freq 6/6,,foo,88.81,52,468,MovingAverage,408,419,510,545,534,687,631,492,484,388,397,413,36678.53,492,525,575,525,525,575,525,434.87,388.87,388.87,376.33,393.05,430.69,1,80,99.371625,494.258863,12,20.10517817,0,114.6025,0.1972,101.1665,281.55,SH ,18.42453774, , ,y, , ,y, ,405.6,489.22,439.05,413.96,455.77,401.42,434.87,388.87,388.87,376.33,393.05,430.69
U.S.,AA0081,Product-81,U.S.,Most Important,y,1:New Product,Freq 6/6,,foo,184.8,29,277,ForecastingAvg,296,276,241,320,271,278,336,255,283,270,221,294,54331.2,278,290,300,280,280,300,280,290.69,259.95,259.95,251.56,262.74,287.9,1,81,34.368297,279.510851,12,12.29587219,0,23.0667,0.0556,15.6677,97.38,SH ,4.11614167, , ,y,y, , , ,271.13,327.03,293.49,276.72,304.67,268.33,290.69,259.95,259.95,251.56,262.74,287.9
U.S.,AA0082,Product-82,U.S.,Normal,n,4:Decline,Freq 6/6,T1,foo,0.27,0,16,MovingAverage,9,41,14,5,35,23,37,8,9,16,5,19,5.13,18,15.42,18.6,16.7,15.74,17.33,15.26,16.54,14.79,14.79,14.31,14.95,16.38,1,82,11.353388,17.847781,12,63.61232245,0,11.5558,0.5664,9.8677,0,SH ,7.74463106, ,y, , , , , ,15.42,18.6,16.7,15.74,17.33,15.26,16.54,14.79,14.79,14.31,14.95,16.38
U.S.,AA0083,Product-83,U.S.,Normal,n,4:Decline,Freq 6/6,T2,foo,0.19,6,2,MovingAverage,1,10,28,0,8,4,1,1,3,1,3,4,0.76,5,2.17,2.62,2.35,2.22,2.44,2.15,2.33,2.08,2.08,2.02,2.11,2.31,1,83,1.329937,2.241452,6,59.33372653,0,3.774,0.8777,3.3889,5.63,SH ,0.75384108, ,y, , , , ,y,2.17,2.62,2.35,2.22,2.44,2.15,2.33,2.08,2.08,2.02,2.11,2.31
U.S.,AA0084,Product-84,U.S.,2nd Most Important,n,4:Decline,Freq 6/6,,foo,192.19,20,226,MovingAverage,293,294,238,249,301,261,240,198,203,219,218,280,53813.2,250,250,280,250,250,280,260,244.23,218.4,218.4,211.36,220.75,241.89,1,84,21.081171,234.840819,6,8.976791637,0,39.8566,0.1497,34.3578,19.76,SH ,1.73361796, ,y,y, , ,y, ,227.8,274.76,246.58,232.49,255.98,225.45,244.23,218.4,218.4,211.36,220.75,241.89
U.S.,AA0085,Product-85,U.S.,2nd Most Important,n,3:Mature,Freq 6/6,T1,foo,199.65,5,17,MovingAverage,20,24,32,29,24,23,26,13,14,13,19,15,2994.75,21,25,30,25,25,30,25,17.9,16,16,15.49,16.18,17.73,1,85,4.459754,17.208763,6,25.91559893,0,5.1582,0.2432,4.3656,4.8,SH ,0.75735197, ,y,y, , , ,y,16.69,20.13,18.07,17.04,18.76,16.52,17.9,16,16,15.49,16.18,17.73
U.S.,AA0086,Product-86,U.S.,Normal,n,3:Mature,Freq 6/6,T2,foo,199.65,10,5,SameAsLastYear,10,6,9,21,10,12,5,10,7,2,6,2,399.3,8,5.44,6.56,5.89,5.55,6.11,5.38,5.83,5.21,5.21,5.05,5.27,5.77,1,86,3.355469,5.605702,6,59.85814087,0,7.2163,0.7124,5.9015,0,SH ,1.91877237, ,y, , , ,y, ,5.44,6.56,5.89,5.55,6.11,5.38,5.83,5.21,5.21,5.05,5.27,5.77
U.S.,AA0087,Product-87,U.S.,Normal,n,3:Mature,Freq 6/6,T2,foo,199.65,10,6,MovingAverage,3,10,14,12,11,9,9,5,8,3,9,3,598.95,8,6.22,7.5,6.73,6.34,6.99,6.15,6.67,5.96,5.96,5.77,6.02,6.6,1,87,2.919596,6.408794,6,45.55609058,0,6.6995,0.6579,6.0455,0,SH ,1.27062149, ,y, , , ,y, ,6.22,7.5,6.73,6.34,6.99,6.15,6.67,5.96,5.96,5.77,6.02,6.6
U.S.,AA0088,Product-88,U.S.,Normal,n,3:Mature,Freq 6/6,T2,foo,199.65,10,8,SameAsLastYear,7,12,11,21,10,10,9,9,11,3,11,5,998.25,10,8.09,9.76,8.76,8.26,9.09,8.01,8.68,7.76,7.76,7.51,7.84,8.59,1,88,3.537605,8.341509,6,42.40965274,0,5.6033,0.504,5.0287,0,SH ,1.43324701, ,y, , , ,y, ,8.09,9.76,8.76,8.26,9.09,8.01,8.68,7.76,7.76,7.51,7.84,8.59
U.S.,AA0089,Product-89,U.S.,Normal,n,4:Decline,Freq 5/6,,foo,65.59,5,2,ForecastingAvg,3,1,1,3,8,3,5,3,3,0,2,1,65.59,3,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1,89,2.137331,2.75,12,77.72112727,0,1.7236,0.5058,1.3789,4.9,SH ,1.68149845, , , , , , ,y,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
U.S.,AA0090,Product-90,U.S.,2nd Most Important,n,3:Mature,Freq 6/6,,foo,148.86,60,133,MovingAverage,139,111,120,134,122,144,187,131,98,110,149,123,18309.78,131,130,150,130,130,150,140,143.21,128.06,128.06,123.93,129.44,141.83,1,90,27.693892,137.699098,6,20.11189064,0,31.7931,0.2085,26.4477,25.96,SH ,5.69472473, ,y,y, , , ,y,133.57,161.11,144.58,136.32,150.09,132.19,143.21,128.06,128.06,123.93,129.44,141.83
U.S.,AA0091,Product-91,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,71.22,3,1,MovingAverage,0,1,1,0,0,0,3,0,1,0,1,1,71.22,1,0.97,1.17,1.05,0.99,1.09,0.96,1.04,0.93,0.93,0.9,0.94,1.03,1,91,1.054738,0.999098,6,105.5690233,0,1.1567,1.1273,0.8611,0,SLP,1.06372175, ,y, , , , ,y,0.97,1.17,1.05,0.99,1.09,0.96,1.04,0.93,0.93,0.9,0.94,1.03
U.S.,AA0092,Product-92,U.S.,Normal,n,3:Mature,Freq 6/6,T1,foo,122.37,6,6,MovingAverage,2,6,4,3,3,3,7,5,1,12,6,7,856.59,5,6.42,7.74,6.95,6.55,7.21,6.35,6.88,6.15,6.15,5.95,6.22,6.81,1,92,3.935961,6.615802,6,59.49333127,0,4.1747,0.6794,3.4949,5.93,SH ,2.23700046, ,y, , , ,y, ,6.42,7.74,6.95,6.55,7.21,6.35,6.88,6.15,6.15,5.95,6.22,6.81
U.S.,AA0093,Product-93,U.S.,Normal,n,4:Decline,Freq 4/6,,foo,78.99,4,3,MovingAverage,3,2,1,2,2,0,5,0,3,1,2,4,315.96,2,2.45,2.96,2.65,2.5,2.75,2.42,2.63,2.35,2.35,2.27,2.37,2.6,1,93,1.793316,2.525961,6,70.99539542,0,1.9413,0.7692,1.6667,4.11,SH ,1.21628131, ,y, , , , ,y,2.45,2.96,2.65,2.5,2.75,2.42,2.63,2.35,2.35,2.27,2.37,2.6
